0.00,0,97.674419
0.00,1,95.348837
0.00,2,97.674419
0.00,3,95.348837
0.00,4,97.674419
0.00,5,95.348837
0.00,6,93.023256
0.00,7,88.372093
0.00,8,88.372093
0.00,9,93.750000
0.001,0,97.674419
0.001,1,95.348837
0.001,2,97.674419
0.001,3,95.348837
0.001,4,97.674419
0.001,5,95.348837
0.001,6,93.023256
0.001,7,88.372093
0.001,8,88.372093
0.001,9,93.750000
0.002,0,97.674419
0.002,1,95.348837
0.002,2,97.674419
0.002,3,95.348837
0.002,4,97.674419
0.002,5,95.348837
0.002,6,93.023256
0.002,7,88.372093
0.002,8,88.372093
0.002,9,93.750000
0.003,0,97.674419
0.003,1,95.348837
0.003,2,97.674419
0.003,3,95.348837
0.003,4,97.674419
0.003,5,95.348837
0.003,6,93.023256
0.003,7,88.372093
0.003,8,88.372093
0.003,9,93.750000
0.004,0,97.674419
0.004,1,95.348837
0.004,2,97.674419
0.004,3,95.348837
0.004,4,97.674419
0.004,5,95.348837
0.004,6,93.023256
0.004,7,88.372093
0.004,8,88.372093
0.004,9,93.750000
0.005,0,97.674419
0.005,1,95.348837
0.005,2,97.674419
0.005,3,95.348837
0.005,4,97.674419
0.005,5,95.348837
0.005,6,93.023256
0.005,7,88.372093
0.005,8,88.372093
0.005,9,93.750000
0.006,0,97.674419
0.006,1,95.348837
0.006,2,97.674419
0.006,3,95.348837
0.006,4,97.674419
0.006,5,95.348837
0.006,6,93.023256
0.006,7,88.372093
0.006,8,88.372093
0.006,9,93.750000
0.007,0,97.674419
0.007,1,95.348837
0.007,2,97.674419
0.007,3,95.348837
0.007,4,97.674419
0.007,5,95.348837
0.007,6,93.023256
0.007,7,88.372093
0.007,8,88.372093
0.007,9,93.750000
0.008,0,97.674419
0.008,1,95.348837
0.008,2,97.674419
0.008,3,95.348837
0.008,4,97.674419
0.008,5,95.348837
0.008,6,93.023256
0.008,7,88.372093
0.008,8,88.372093
0.008,9,93.750000
0.009,0,97.674419
0.009,1,95.348837
0.009,2,97.674419
0.009,3,95.348837
0.009,4,97.674419
0.009,5,95.348837
0.009,6,93.023256
0.009,7,88.372093
0.009,8,88.372093
0.009,9,93.750000
0.010,0,97.674419
0.010,1,95.348837
0.010,2,97.674419
0.010,3,95.348837
0.010,4,97.674419
0.010,5,95.348837
0.010,6,93.023256
0.010,7,88.372093
0.010,8,88.372093
0.010,9,93.750000
0.011,0,97.674419
0.011,1,95.348837
0.011,2,97.674419
0.011,3,95.348837
0.011,4,97.674419
0.011,5,95.348837
0.011,6,93.023256
0.011,7,88.372093
0.011,8,88.372093
0.011,9,93.750000
0.012,0,97.674419
0.012,1,95.348837
0.012,2,97.674419
0.012,3,95.348837
0.012,4,97.674419
0.012,5,95.348837
0.012,6,93.023256
0.012,7,88.372093
0.012,8,88.372093
0.012,9,93.750000
0.013,0,97.674419
0.013,1,95.348837
0.013,2,97.674419
0.013,3,95.348837
0.013,4,97.674419
0.013,5,95.348837
0.013,6,93.023256
0.013,7,88.372093
0.013,8,88.372093
0.013,9,93.750000
0.014,0,97.674419
0.014,1,95.348837
0.014,2,97.674419
0.014,3,95.348837
0.014,4,97.674419
0.014,5,95.348837
0.014,6,93.023256
0.014,7,88.372093
0.014,8,88.372093
0.014,9,93.750000
0.015,0,97.674419
0.015,1,95.348837
0.015,2,97.674419
